
78310. Place: Zamość, Year: 1748  
128121. Place: Gdańsk, Year: 1668  
27947. Place: -, Year: -  
139883. Place: -, Year: -  
137819. Place: -, Year: -  
62252. Place: -, Year: -  
50237. Place: -, Year: -  
35160. Place: Wrocław, Year: 1877  
199869. Place: Kraków, Year: 1539  
59940. Place: Novi Sad, Year: 1888  
105401. Place: -, Year: -  
74456. Place: Warszawa, Year: 1880  
213190. Place: -, Year: -  
44124. Place: Warszawa, Year: 1704  
163732. Place: Wiedeń, Year: 1776  
22886. Place: -, Year: -  
95577. Place: Warszawa, Year: 1886  
50746. Place: Warszawa, Year: 1882  
61631. Place: -, Year: -  
46904. Place: Lwów, Year: 1858  
190099. Place: -, Year: 1546  
97336. Place: -, Year: -
77148. Place: Zamość, Year: 1640  
203450. Place: -, Year: 1592  
76213. Place: -, Year: 1750  
109906. Place: Kraków, Year: 1617  
28734. Place: -, Year: -  
111702. Place: Nancy, Year: 1741  
150293. Place: -, Year: 1641  
7399. Place: -, Year: -  
70146. Place: -, Year: -  
148911. Place: -, Year: 1563  
30938. Place: -, Year: -  
57552. Place: -, Year: -  
32354. Place: Krynica, Year: -  
142663. Place: Kraków, Year: 1791  
147406. Place: Berlin, Year: 1794  
125993. Place: -, Year: -  
15611. Place: Poznań, Year: 1891  
209074. Place: Kraków, Year: 1700  
40573. Place: Lwów, Year: 1849  
149608. Place: Wilno, Year: 1798  
151196. Place: -, Year: 1636  
154962. Place: Królewiec, Year: 1562  
155066. Place: Toruń, Year: 1675  
176254. Place: -, Year: 1776  
15363. Place: -, Year: -  
185816. Place: Kraków, Year: 1653  
208354. Place: Augsburg, Year: 1600  
162283. Place: Kraków, Year: 1753  
75708. Place: -, Year: -  
1489. Place: Bazylea, Year: 1600  
26349. Place: Kraków, Year: 1883  
48659. Place: -, Year: 1669  
133280. Place: -, Year: -  
102050. Place: Warszawa, Year: 1885  
17378. Place: Kraków, Year: 1894  
50378. Place: -, Year: 1656  
129630. Place: Warszawa, Year: 1786  
164809. Place: Mediolan, Year: 1613  
78282. Place: Kraków, Year: 1889  
67289. Place: Lwów, Year: 1894  
78454. Place: -, Year: -  
75811. Place: -, Year: -  
173300. Place: -, Year: -  
114540. Place: -, Year: -  
99277. Place: -, Year: -  
29991. Place: -, Year: -  
111814. Place: -, Year: 1764  
58326. Place: Paryż, Year: 1863  
69554. Place: Warszawa, Year: 1847  
80071. Place: -, Year: -
75409. Place: -, Year: -
71215. Place: Warszawa, Year: 1899
41489. Place: -, Year: 1842
128872. Place: Regiomont, Year: 1694
218508. Place: -, Year: -
110703. Place: -, Year: -
167197. Place: Ostrog, Year: 1640
77516. Place: Gdańsk, Year: 1766
145789. Place: -, Year: 1756
34251. Place: Nakło, Year: 1888
9924. Place: Kraków, Year: 1878
141489. Place: Gdańsk, Year: 1667
192401. Place: Kraków, Year: 1735
103090. Place: -, Year: -
32877. Place: -, Year: -
56820. Place: -, Year: -
209355. Place: Turyn, Year: 1699
42192. Place: -, Year: -
125369. Place: -, Year: -
48482. Place: -, Year: -
6323. Place: Warszawa, Year: 1832
191191. Place: Kraków, Year: 1566
113567. Place: -, Year: -
186563. Place: -, Year: -
30009. Place: -, Year: -
19664. Place: -, Year: -
54006. Place: -, Year: -
108787. Place: Kolonia, Year: 1657
54601. Place: -, Year: -
115624. Place: Dordrecht, Year: 1683
97946. Place: -, Year: -
101272. Place: -, Year: -
169296. Place: -, Year: 1712
63990. Place: -, Year: -
148285. Place: -, Year: 1518
52327. Place: -, Year: -
117114. Place: -, Year: 1769
95824. Place: -, Year: -
201693. Place: Poznań, Year: 1693
118168. Place: Toruń, Year: 1739
15964. Place: Łuck, Year: 1801
59511. Place: -, Year: 1699
201547. Place: -, Year: -
194535. Place: Hamburg, Year: 1680
12444. Place: Kraków, Year: 1892
105013. Place: Warszawa, Year: 1848
39054. Place: -, Year: -
78287. Place: -, Year: -
112932. Place: Wilno, Year: 1878
176860. Place: -, Year: -
57553. Place: Warszawa, Year: 1688  
166743. Place: -, Year: 1784  
84091. Place: -, Year: 1843  
138057. Place: Warszawa, Year: 1790  
76785. Place: -, Year: 1736  
25027. Place: Kijów, Year: 1894  
74837. Place: Lwów, Year: 1900  
62070. Place: Kalisz, Year: 1885  
19783. Place: -, Year: -  
216725. Place: Warszawa, Year: 1788  
5675. Place: Warszawa, Year: 1883  
222690. Place: -, Year: -  
214978. Place: Łowicz, Year: 1800  
97493. Place: Warszawa, Year: 1894  
90476. Place: Lwów, Year: -  
214002. Place: Kraków, Year: 1599  
57468. Place: -, Year: -  
18520. Place: Lwów, Year: -  
58993. Place: Lipsk, Year: 1754  
133314. Place: -, Year: -  
180351. Place: -, Year: 1667  
30716. Place: -, Year: -  
105459. Place: -, Year: -  
5961. Place: Paryż, Year: 1864  
47082. Place: Bruksela, Year: 1855  
89064. Place: -, Year: -  
49715. Place: Lwów, Year: 1851  
40143. Place: -, Year: -  
148637. Place: Kraków, Year: 1542  
39973. Place: -, Year: -  
108864. Place: -, Year: -  
88879. Place: Paryż, Year: 1612  
195110. Place: -, Year: -  
5463. Place: -, Year: -  
173330. Place: -, Year: -  
174758. Place: -, Year: -  
164089. Place: -, Year: 1702  
208009. Place: -, Year: 1661  
130130. Place: -, Year: 1761  
33378. Place: Wrocław, Year: 1826  
4570. Place: Warszawa, Year: 1870  
166303. Place: Wilno, Year: 1783  
36461. Place: Lwów, Year: 1876  
45255. Place: -, Year: -  
27868. Place: -, Year: -  
86207. Place: Warszawa, Year: -  
198823. Place: -, Year: 1683  
114671. Place: Kraków, Year: 1780  
128863. Place: -, Year: -  
179103. Place: -, Year: -
75214. Place: Warszawa, Year: 1826  
88702. Place: -, Year: 1894  
124634. Place: -, Year: -  
131779. Place: -, Year: -  
13589. Place: -, Year: -  
159116. Place: Kraków, Year: 1519  
182305. Place: -, Year: 1796  
141031. Place: Zamość, Year: 1608  
149466. Place: -, Year: 1624  
79185. Place: Montpellier, Year: 1838  
105371. Place: -, Year: -  
80110. Place: Leipzig, Year: 1864  
180234. Place: -, Year: -  
183504. Place: -, Year: -  
143830. Place: Warszawa, Year: -  
178890. Place: -, Year: 1785  
19321. Place: -, Year: 1777  
71567. Place: Leipzig, Year: 1876  
96638. Place: -, Year: -  
198550. Place: -, Year: -  
74146. Place: Warszawa, Year: 1877  
203087. Place: -, Year: 1763  
108285. Place: Wilno, Year: 1890  
67203. Place: -, Year: -  
77432. Place: Wrocław, Year: -  
74330. Place: Paryż, Year: 1863  
76546. Place: -, Year: -  
118726. Place: -, Year: -  
49896. Place: Kraków, Year: 1882  
48692. Place: -, Year: -  
75916. Place: -, Year: -  
170757. Place: -, Year: 1632  
101144. Place: -, Year: -  
145455. Place: Warszawa, Year: 1692  
103170. Place: -, Year: -  
203275. Place: Kraków, Year: 1647  
92402. Place: -, Year: -  
68950. Place: Kraków, Year: 1896  
131951. Place: -, Year: -  
90420. Place: -, Year: -  
131452. Place: -, Year: -  
139080. Place: -, Year: 1656  
147971. Place: Lesna, Year: 1758  
86958. Place: Warszawa, Year: -  
206377. Place: -, Year: 1702  
75244. Place: Wilno, Year: 1683  
58478. Place: Warszawa, Year: 1897  
80717. Place: -, Year: -  
202114. Place: Haarlem, Year: 1662  
90272. Place: -, Year: -
80279. Place: Kraków, Year: 1839  
98586. Place: -, Year: -  
152302. Place: -, Year: -  
76008. Place: -, Year: 1778  
202544. Place: -, Year: -  
59199. Place: -, Year: -  
48899. Place: -, Year: -  
163681. Place: Poznań, Year: 1739  
94883. Place: -, Year: -  
167097. Place: -, Year: 1678  
179276. Place: -, Year: 1600  
34947. Place: Kraków, Year: 1899  
38826. Place: Potsdam, Year: 1804  
142995. Place: -, Year: -  
11435. Place: -, Year: -  
17918. Place: Warszawa, Year: 1826  
181191. Place: Warszawa, Year: 1666  
111867. Place: -, Year: -  
171367. Place: -, Year: -  
127276. Place: -, Year: -  
195750. Place: Grodno, Year: 1793  
30223. Place: -, Year: -  
96077. Place: -, Year: -  
123262. Place: -, Year: -  
56257. Place: -, Year: -  
118735. Place: -, Year: -  
47974. Place: Poznań, Year: 1900  
218523. Place: -, Year: -  
196512. Place: Frankfurt nad Odrą, Year: 1700  
154716. Place: -, Year: -  
1780. Place: Łuck, Year: 1793  
77816. Place: Warszawa, Year: 1720  
83979. Place: -, Year: -  
131572. Place: Kraków, Year: 1595  
20682. Place: -, Year: 1765  
128501. Place: -, Year: -  
99117. Place: Kraków, Year: 1893  
150751. Place: -, Year: 1775  
113030. Place: London, Year: 1762  
53884. Place: -, Year: -  
70131. Place: -, Year: -  
201643. Place: Warszawa, Year: 1786  
36254. Place: Wiedeń, Year: 1802  
183958. Place: -, Year: 1620  
198590. Place: -, Year: -  
142418. Place: -, Year: 1652  
56301. Place: -, Year: -  
196413. Place: Grodno, Year: 1793  
49112. Place: Warszawa, Year: 1775  
2233. Place: -, Year: -
146468. Place: Toruń, Year: 1619  
57362. Place: -, Year: -  
119. Place: -, Year: 1780  
51727. Place: Pelplin, Year: 1882  
158331. Place: -, Year: -  
83776. Place: Warszawa, Year: 1897  
91604. Place: -, Year: -  
113114. Place: Lwów, Year: 1741  
179690. Place: Sztokholm, Year: 1704  
71311. Place: Kraków, Year: -  
219997. Place: -, Year: -  
212559. Place: Gdańsk, Year: 1660  
43818. Place: -, Year: -  
69581. Place: Warszawa, Year: -  
48442. Place: -, Year: -  
94582. Place: Przemyśl, Year: 1898  
112363. Place: Warszawa, Year: 1644  
130197. Place: -, Year: 1683  
62500. Place: Nowy Jiczyn, Year: 1898  
27476. Place: -, Year: -  
113470. Place: Drezno, Year: 1871  
22322. Place: -, Year: -  
47592. Place: -, Year: 1795  
108887. Place: Rzym, Year: 1749  
167554. Place: Wilno, Year: 1759  
108851. Place: Warszawa, Year: 1828  
35023. Place: Lwów, Year: 1882  
63732. Place: Warszawa, Year: 1879  
127735. Place: Bazylea, Year: -  
52475. Place: -, Year: -  
30020. Place: -, Year: -  
74265. Place: Warszawa, Year: 1872  
110130. Place: Lwów, Year: 1771  
62199. Place: Poznań, Year: 1738  
154669. Place: -, Year: -  
147535. Place: -, Year: 1795  
144462. Place: Kraków, Year: 1648  
215540. Place: -, Year: -  
39909. Place: Warszawa, Year: 1843  
142428. Place: Leszno, Year: 1631  
20846. Place: Warszawa, Year: 1783  
13408. Place: -, Year: -  
71067. Place: Greifswald, Year: 1875  
71138. Place: Lwów, Year: 1900  
7956. Place: -, Year: -  
107841. Place: -, Year: -  
155495. Place: Kraków, Year: 1670  
1140. Place: -, Year: 1611  
70494. Place: -, Year: -  
146675. Place: Kraków, Year: -
55092. Place: -, Year: -
41078. Place: -, Year: -
69276. Place: Kraków, Year: 1894
180163. Place: Warszawa, Year: 1792
143396. Place: -, Year: -
1195. Place: Wilno, Year: 1865
145848. Place: -, Year: -
148841. Place: -, Year: 1582
48979. Place: Kraków, Year: 1619
178376. Place: -, Year: -
29049. Place: Kraków, Year: 1543
60127. Place: Poznań, Year: 1743
171464. Place: -, Year: -
8095. Place: Wiedeń, Year: 1888
114151. Place: -, Year: 1775
89283. Place: Lwów, Year: 1856
132399. Place: -, Year: 1704
188297. Place: -, Year: 1686
146140. Place: -, Year: 1754
55469. Place: -, Year: -
107455. Place: -, Year: -
191152. Place: -, Year: -
20488. Place: Szczecin, Year: 1850
149793. Place: -, Year: -
78565. Place: -, Year: 1775
259. Place: Kraków, Year: 1543
176364. Place: -, Year: -
107004. Place: -, Year: -
155309. Place: Warszawa, Year: 1786
222918. Place: -, Year: -
90806. Place: -, Year: 1816
88756. Place: Warszawa, Year: 1814
216484. Place: Birmingham, Year: 1792
11014. Place: Warszawa, Year: 1880
189979. Place: -, Year: -
23871. Place: Warszawa, Year: 1899
43325. Place: Lwów, Year: 1878
60808. Place: -, Year: 1626
53228. Place: -, Year: -
151614. Place: -, Year: 1789
101196. Place: Opole, Year: 1892
168439. Place: -, Year: -
130614. Place: -, Year: -
180483. Place: Grodno, Year: 1792
139210. Place: -, Year: -
102887. Place: Grudziądz, Year: 1896
50293. Place: -, Year: -
85236. Place: Królewiec, Year: 1830
149384. Place: -, Year: -
149564. Place: -, Year: -
111277. Place: -, Year: -
206628. Place: -, Year: 1794
90275. Place: Sandomierz, Year: 1763
62555. Place: Warszawa, Year: 1879
94443. Place: -, Year: 1836
61999. Place: Warszawa, Year: 1751
62619. Place: -, Year: -
198491. Place: Wittenberg, Year: 1674
188780. Place: -, Year: -
98700. Place: -, Year: -
19912. Place: Poznań, Year: -
181559. Place: -, Year: -
70173. Place: Leipzig, Year: 1863
192120. Place: -, Year: -
76166. Place: Wilno, Year: 1817
205331. Place: -, Year: 1791
74383. Place: Toruń, Year: 1693
55934. Place: -, Year: -
211457. Place: -, Year: -
186805. Place: Warszawa, Year: 1778
52940. Place: -, Year: -
109726. Place: -, Year: -
113064. Place: -, Year: -
174208. Place: Poznań, Year: 1666
45680. Place: Gdańsk, Year: 1889
202106. Place: -, Year: -
216050. Place: Gdańsk, Year: 1651
178750. Place: -, Year: 1793
159128. Place: Wenecja, Year: 1561
83815. Place: Wrocław, Year: 1851
107182. Place: Chicago, Year: 1879
95759. Place: Lwów, Year: 1809
41774. Place: Warszawa, Year: 1889
138268. Place: Warszawa, Year: -
60184. Place: -, Year: -
195764. Place: -, Year: 1793
143228. Place: -, Year: -
191408. Place: -, Year: 1780
19619. Place: Kraków, Year: 1870
6065. Place: Greifswald, Year: 1883
42376. Place: -, Year: -
80352. Place: -, Year: -
218995. Place: -, Year: -
155744. Place: -, Year: 1790
55730. Place: -, Year: -
222656. Place: -, Year: -
53030. Place: -, Year: -
1509. Place: Brzeg, Year: 1771
216663. Place: -, Year: -
44544. Place: -, Year: 1855  
209735. Place: -, Year: 1706  
191043. Place: -, Year: -  
23514. Place: Lwów, Year: 1880  
46270. Place: Augsburg, Kraków, Year: 1755  
27304. Place: -, Year: -  
50328. Place: Warszawa, Year: 1876  
21951. Place: -, Year: -  
176675. Place: -, Year: 1794  
90160. Place: Warszawa, Year: 1890  
90145. Place: -, Year: -  
91714. Place: Jabłonowo, Year: 1880  
218751. Place: -, Year: -  
2614. Place: Lublin, Year: 1862  
141429. Place: Kraków, Year: 1722  
195463. Place: -, Year: -  
58882. Place: Kraków, Year: 1515  
73864. Place: -, Year: -  
86019. Place: Gliwice, Kluczbork i Bytom, Year: -  
69053. Place: -, Year: 1874  
185435. Place: -, Year: 1576  
68256. Place: -, Year: 1830  
69558. Place: -, Year: -  
156289. Place: -, Year: -  
83204. Place: Wilno, Year: 1815  
95532. Place: Siedlec, Year: 1884  
82511. Place: Warszawa, Year: 1899  
20195. Place: -, Year: 1790  
24266. Place: -, Year: -  
74951. Place: Wrocław, Year: 1847  
70485. Place: -, Year: -  
107951. Place: Tarnów, Year: 1896  
2535. Place: Kraków, Year: 1676  
167804. Place: Warszawa, Year: 1693  
794. Place: Avranches, Year: 1834  
186833. Place: Greifswald, Year: 1657  
220412. Place: Lwów, Year: 1781  
82138. Place: -, Year: -  
52458. Place: -, Year: -  
179383. Place: -, Year: 1780  
83905. Place: -, Year: -  
18841. Place: Paryż, Year: -  
1855. Place: Warszawa, Year: 1800  
95445. Place: -, Year: -  
105570. Place: -, Year: -  
145408. Place: Wrocław, Year: 1598  
220067. Place: -, Year: -  
199809. Place: -, Year: 1724  
165172. Place: -, Year: -  
29909. Place: -, Year: -
48673. Place: Kraków, Year: 1622  
141467. Place: -, Year: -  
180005. Place: Warszawa, Year: 1746  
181218. Place: Paryż, Year: 1681  
77533. Place: Lubcz, Year: 1638  
143811. Place: Warszawa, Year: 1775  
163973. Place: Poznań, Year: 1692  
17865. Place: Bourges, Year: 1832  
50019. Place: -, Year: -  
87713. Place: -, Year: -  
10014. Place: Rawicz, Year: 1852  
111182. Place: Praga, Year: 1879  
114325. Place: Zamość, Year: 1650  
142777. Place: -, Year: -  
155168. Place: -, Year: -  
112926. Place: -, Year: -  
130339. Place: Toruń, Year: 1717  
162473. Place: Sandomierz, Year: 1764  
59145. Place: -, Year: -  
40150. Place: -, Year: -  
83459. Place: -, Year: -  
46107. Place: -, Year: -  
115115. Place: -, Year: -  
161192. Place: -, Year: -  
170568. Place: -, Year: 1700  
36525. Place: -, Year: -  
47706. Place: -, Year: 1704  
168775. Place: -, Year: 1795  
131336. Place: Kraków, Year: 1596  
144669. Place: -, Year: 1624  
67112. Place: -, Year: -  
29542. Place: -, Year: -  
202189. Place: Warszawa, Year: 1783  
43375. Place: Wilno, Year: 1806  
67239. Place: -, Year: -  
53928. Place: -, Year: -  
54691. Place: -, Year: -  
58944. Place: Warszawa, Year: 1890  
93399. Place: Petersburg, Year: 1876  
91769. Place: Leiden, Year: 1663  
191112. Place: Toruń, Year: 1687  
175797. Place: -, Year: -  
113877. Place: -, Year: 1879  
187593. Place: -, Year: -  
75357. Place: -, Year: 1712  
131567. Place: -, Year: -  
25686. Place: -, Year: -  
60079. Place: Chicago, Year: 1893  
58176. Place: Poznań, Year: 1869  
141840. Place: -, Year: -
118608. Place: -, Year: 1657
196114. Place: -, Year: 1791
119753. Place: -, Year: 1500
12163. Place: Warszawa, Year: 1889
221071. Place: -, Year: -
206512. Place: Warszawa, Year: 1766
89476. Place: Lublin, Year: 1783
109722. Place: Warszawa, Year: 1870
178206. Place: -, Year: 1793
222429. Place: -, Year: -
201848. Place: -, Year: -
110690. Place: -, Year: -
142666. Place: Kraków, Year: 1791
14277. Place: Warszawa, Year: 1864
46583. Place: Haga, Year: 1887
118759. Place: -, Year: -
10056. Place: Nantes, Year: 1840
123411. Place: Ingolstadt, Year: 1585
80791. Place: -, Year: -
199727. Place: -, Year: -
16910. Place: -, Year: -
60686. Place: -, Year: -
219559. Place: -, Year: 1758
20916. Place: Buffalo, Year: 1892
4731. Place: -, Year: -
79651. Place: -, Year: -
15861. Place: -, Year: -
27717. Place: -, Year: -
195059. Place: -, Year: -
192800. Place: Gdańsk, Year: 1715
204019. Place: -, Year: -
9706. Place: Paryż, Year: 1843
74811. Place: -, Year: 1657
55211. Place: -, Year: -
19684. Place: Warszawa, Year: 1834
190858. Place: -, Year: 1800
151893. Place: -, Year: -
3571. Place: Lagny, Year: 1873
48760. Place: Warszawa, Year: 1883
16406. Place: Warszawa, Year: 1872
68188. Place: Warszawa, Year: 1826
54620. Place: -, Year: -
186513. Place: -, Year: 1726
210653. Place: Wilno, Year: 1738
56688. Place: -, Year: -
8586. Place: Warszawa, Year: 1811
221730. Place: -, Year: -
105991. Place: -, Year: -
112699. Place: Poznań, Year: 1626
46303. Place: Warszawa, Year: 1786
61199. Place: Warszawa, Year: 1871  
119451. Place: Kraków, Year: 1597  
141601. Place: -, Year: -  
50069. Place: -, Year: -  
47485. Place: Wiedeń, Year: 1885  
48577. Place: Wiedeń, Year: 1823  
145103. Place: -, Year: -  
60291. Place: -, Year: -  
191413. Place: -, Year: 1763  
174229. Place: Wilno, Year: 1747  
63120. Place: Paryż, Year: 1863  
119205. Place: Kraków, Year: 1575  
27039. Place: Kraków, Year: 1575  
75771. Place: -, Year: -  
16675. Place: Warszawa, Year: 1828  
90396. Place: Wilno, Year: 1845  
161975. Place: -, Year: -  
214929. Place: Berdyczów, Year: 1800  
223423. Place: -, Year: -  
35453. Place: Warszawa, Year: 1891  
17821. Place: Kraków, Year: 1869  
74788. Place: Gdańsk, Year: 1734  
120030. Place: -, Year: -  
88312. Place: Dantisci, Year: -  
93424. Place: Wilno, Year: 1880  
214402. Place: -, Year: 1793  
220406. Place: -, Year: -  
53465. Place: -, Year: -  
158712. Place: Kraków, Year: 1768  
69906. Place: Warszawa, Year: 1874  
100663. Place: Krzemieniec, Year: 1822  
127003. Place: -, Year: -  
79076. Place: Warszawa, Year: 1895  
217225. Place: -, Year: -  
180742. Place: -, Year: -  
147011. Place: -, Year: -  
54805. Place: -, Year: -  
97780. Place: -, Year: -  
59690. Place: -, Year: -  
200406. Place: -, Year: 1799  
58876. Place: Kraków, Year: 1697  
75976. Place: -, Year: -  
191670. Place: -, Year: -  
59671. Place: Gdańsk, Year: -  
41109. Place: -, Year: -  
164755. Place: -, Year: 1563  
211748. Place: -, Year: -  
199206. Place: -, Year: -  
77843. Place: -, Year: -  
55135. Place: -, Year: -
